1217,MiaoAlgo,I_NFL32_16,1000,50
NrSuccesfullMatchings,125780,NrInfeasibleMatchings,92
Time,Value 
300,243210
270,243259
240,243259
210,243259
180,243674
150,243674
120,244166
90,246392
60,250298
30,250592
0,286534
Final, 243210,321

Round,H_team,A_team 
0,19,0
0,1,9
0,2,7
0,16,3
0,4,29
0,5,10
0,6,26
0,8,14
0,15,11
0,12,17
0,13,30
0,18,24
0,22,20
0,23,21
0,25,27
0,31,28
1,0,3
1,1,27
1,2,5
1,4,8
1,6,24
1,22,7
1,25,9
1,10,29
1,13,11
1,12,21
1,14,17
1,15,28
1,19,16
1,18,26
1,23,20
1,31,30
2,2,0
2,1,25
2,5,3
2,4,24
2,6,19
2,23,7
2,22,8
2,26,9
2,10,27
2,17,11
2,12,28
2,31,13
2,14,29
2,15,30
2,18,16
2,21,20
3,0,18
3,24,1
3,8,2
3,3,19
3,20,4
3,7,5
3,16,6
3,9,10
3,11,31
3,30,12
3,28,13
3,27,14
3,17,15
3,21,22
3,29,23
3,26,25
4,0,16
4,26,1
4,20,2
4,6,3
4,14,4
4,18,5
4,19,7
4,29,8
4,9,24
4,10,25
4,27,11
4,12,31
4,13,15
4,30,17
4,28,21
4,23,22
5,0,7
5,22,1
5,2,16
5,18,3
5,4,10
5,19,5
5,6,9
5,8,23
5,11,30
5,15,12
5,13,17
5,14,28
5,25,20
5,31,21
5,24,26
5,29,27
6,5,0
6,1,20
6,22,2
6,3,9
6,4,23
6,6,18
6,16,7
6,8,10
6,11,12
6,21,13
6,31,14
6,15,29
6,17,28
6,24,19
6,25,30
6,27,26
7,0,6
7,1,30
7,2,23
7,3,24
7,4,25
7,22,5
7,7,18
7,8,20
7,16,9
7,21,10
7,11,28
7,12,13
7,15,14
7,17,27
7,26,19
7,31,29
8,20,0
8,1,11
8,3,2
8,9,4
8,5,16
8,7,6
8,26,8
8,10,17
8,14,12
8,13,29
8,23,15
8,19,18
8,30,21
8,28,22
8,24,25
8,27,31
9,24,0
9,16,1
9,18,2
9,7,3
9,27,4
9,5,6
9,11,8
9,9,19
9,10,26
9,20,12
9,13,22
9,30,14
9,21,15
9,29,17
9,28,23
9,25,31
10,9,0
10,3,1
10,6,2
10,11,4
10,5,24
10,21,7
10,27,8
10,10,18
10,12,23
10,14,13
10,20,15
10,28,16
10,17,31
10,25,19
10,30,22
10,29,26
11,0,1
11,2,19
11,3,25
11,4,18
11,21,5
11,22,6
11,7,24
11,8,28
11,17,9
11,12,10
11,26,11
11,23,13
11,14,20
11,15,27
11,31,16
11,29,30
12,0,25
12,1,17
12,2,24
12,22,3
12,6,4
12,20,5
12,8,7
12,11,9
12,31,10
12,12,29
12,13,27
12,14,21
12,15,16
12,18,28
12,19,23
12,26,30
13,0,22
13,18,1
13,2,12
13,4,3
13,29,5
13,8,6
13,7,20
13,9,13
13,28,10
13,24,11
13,19,14
13,26,15
13,16,25
13,17,21
13,23,31
13,30,27
14,23,0
14,19,1
14,28,2
14,3,14
14,7,4
14,5,12
14,29,6
14,30,8
14,9,18
14,10,11
14,25,13
14,24,15
14,16,22
14,17,26
14,20,31
14,27,21
15,21,0
15,1,6
15,30,2
15,3,23
15,5,4
15,7,31
15,13,8
15,9,15
15,10,19
15,11,29
15,27,12
15,16,14
15,20,17
15,25,18
15,24,22
15,28,26
