396,MiaoAlgo,I_NFL32_16,1000,90
NrSuccesfullMatchings,2606205,NrInfeasibleMatchings,0
Time,Value 
6210,282713
6180,282713
6150,282713
6120,282713
6090,282713
6060,282713
6030,282713
6000,282713
5970,282713
5940,282713
5910,282713
5880,282713
5850,282713
5820,282713
5790,282713
5760,282713
5730,282713
5700,282713
5670,282713
5640,282713
5610,282713
5580,282713
5550,282713
5520,282713
5490,282713
5460,282713
5430,282713
5400,282713
5370,282713
5340,282713
5310,282713
5280,282713
5250,282713
5220,282713
5190,282713
5160,282713
5130,282713
5100,282713
5070,282713
5040,282713
5010,282713
4980,282713
4950,282713
4920,282713
4890,282713
4860,282713
4830,282713
4800,282713
4770,282713
4740,282713
4710,282713
4680,282713
4650,282713
4620,282713
4590,282713
4560,282713
4530,282713
4500,282713
4470,282713
4440,282713
4410,282713
4380,282713
4350,282713
4320,282713
4290,282713
4260,282713
4230,282713
4200,282713
4170,282713
4140,282713
4110,282713
4080,282713
4050,282713
4020,282713
3990,282713
3960,282713
3930,282713
3900,282713
3870,282713
3840,282713
3810,282713
1740,282713
1710,282713
1680,282713
1650,282713
1620,282713
1590,282713
1560,282713
1530,282713
1500,282713
1470,282713
1440,282713
1410,282713
1380,282713
1350,282713
1320,282713
1290,282713
1260,282713
1230,282713
1200,282713
1170,282713
1140,282713
1110,282713
1080,282713
1050,282713
1020,282713
990,282713
960,282713
930,282713
900,282713
870,282713
360,282713
330,282713
300,282713
270,282713
240,282713
210,282713
180,282713
150,282713
120,282713
90,282713
60,312570
30,317888
0,321913
390,282713
420,282713
450,282713
480,282713
510,282713
540,282713
570,282713
600,282713
630,282713
660,282713
690,282713
720,282713
750,282713
780,282713
810,282713
840,282713
1770,282713
1800,282713
1830,282713
1860,282713
1890,282713
1920,282713
1950,282713
1980,282713
2010,282713
2040,282713
2070,282713
2100,282713
2130,282713
2160,282713
2190,282713
2220,282713
2250,282713
2280,282713
2310,282713
2340,282713
2370,282713
2400,282713
2430,282713
2460,282713
2490,282713
2520,282713
2550,282713
2580,282713
2610,282713
2640,282713
2670,282713
2700,282713
2730,282713
2760,282713
2790,282713
2820,282713
2850,282713
2880,282713
2910,282713
2940,282713
2970,282713
3000,282713
3030,282713
3060,282713
3090,282713
3120,282713
3150,282713
3180,282713
3210,282713
3240,282713
3270,282713
3300,282713
3330,282713
3360,282713
3390,282713
3420,282713
3450,282713
3480,282713
3510,282713
3540,282713
3570,282713
3600,282713
3630,282713
3660,282713
3690,282713
3720,282713
3750,282713
3780,282713
Final, 282713,7231

