588,MiaoAlgo,I_NFL32_24,1000,100
NrSuccesfullMatchings,929750,NrInfeasibleMatchings,552761
Time,Value 
1650,573408
1620,573408
1590,573408
1560,573408
1530,573408
1500,573408
1470,573408
1440,573408
1410,573408
1380,573408
1350,573408
1320,573408
1290,573408
1260,573408
1230,573408
1200,573408
1170,573408
1140,573408
1110,573408
1080,573408
1050,573408
1020,573408
990,573408
960,573408
930,573408
900,573408
870,573408
360,573408
330,573408
300,573408
270,573408
240,573408
210,573408
180,573408
150,573408
120,573408
90,573408
60,573408
30,573408
0,586625
390,573408
420,573408
450,573408
480,573408
510,573408
540,573408
570,573408
600,573408
630,573408
660,573408
690,573408
720,573408
750,573408
780,573408
810,573408
840,573408
Final, 573408,7231

Round,H_team,A_team 
0,0,18
0,25,1
0,7,2
0,3,16
0,4,8
0,5,26
0,19,6
0,24,9
0,10,17
0,27,11
0,12,15
0,30,13
0,21,14
0,23,20
0,22,29
0,28,31
1,16,0
1,1,24
1,2,5
1,6,3
1,26,4
1,8,7
1,9,25
1,11,10
1,13,12
1,14,23
1,15,28
1,17,27
1,18,19
1,20,22
1,29,21
1,31,30
2,0,2
2,1,26
2,3,19
2,4,20
2,5,16
2,18,6
2,7,22
2,9,8
2,10,29
2,11,17
2,30,12
2,13,28
2,27,14
2,31,15
2,21,23
2,25,24
3,19,0
3,17,1
3,2,3
3,22,4
3,6,5
3,23,7
3,8,10
3,26,9
3,14,11
3,12,31
3,15,13
3,16,18
3,20,21
3,24,27
3,29,25
3,28,30
4,3,0
4,1,11
4,2,22
4,4,29
4,18,5
4,6,8
4,7,21
4,9,27
4,10,13
4,12,28
4,20,14
4,30,15
4,16,19
4,25,17
4,23,31
4,24,26
5,0,6
5,27,1
5,19,2
5,5,3
5,21,4
5,29,7
5,8,18
5,11,9
5,31,10
5,14,12
5,13,24
5,15,20
5,22,16
5,17,30
5,28,23
5,26,25
6,0,21
6,1,9
6,2,6
6,18,3
6,4,11
6,5,22
6,7,16
6,20,8
6,15,10
6,12,17
6,31,13
6,14,28
6,19,26
6,23,29
6,30,24
6,27,25
7,25,0
7,6,1
7,16,2
7,3,7
7,10,4
7,8,5
7,9,19
7,11,30
7,29,12
7,13,14
7,21,15
7,17,31
7,24,18
7,28,20
7,22,23
7,26,27
8,0,22
8,19,1
8,2,18
8,24,3
8,4,31
8,5,7
8,16,6
8,8,29
8,9,17
8,10,25
8,26,11
8,12,20
8,27,13
8,30,14
8,23,15
8,28,21
9,7,0
9,1,16
9,20,2
9,3,4
9,25,5
9,6,24
9,15,8
9,18,9
9,14,10
9,11,12
9,13,23
9,17,28
9,22,19
9,21,30
9,29,26
9,31,27
10,5,0
10,10,1
10,2,24
10,22,3
10,4,18
10,6,25
10,7,19
10,31,8
10,9,16
10,11,13
10,12,23
10,29,14
10,17,15
10,20,30
10,21,26
10,27,28
11,0,20
11,1,4
11,23,2
11,3,9
11,19,5
11,26,6
11,18,7
11,8,22
11,24,10
11,15,11
11,25,12
11,13,17
11,14,31
11,16,21
11,30,27
11,28,29
12,0,23
12,1,12
12,2,21
12,28,3
12,4,19
12,14,5
12,6,9
12,7,20
12,8,16
12,18,10
12,31,11
12,13,25
12,15,27
12,17,26
12,22,24
12,29,30
13,9,0
13,3,1
13,12,2
13,5,4
13,10,6
13,24,7
13,19,8
13,11,28
13,20,13
13,16,14
13,25,15
13,23,17
13,26,18
13,21,31
13,30,22
13,27,29
14,0,14
14,1,15
14,11,2
14,8,3
14,4,30
14,5,9
14,6,7
14,26,10
14,27,12
14,29,13
14,16,24
14,17,21
14,18,23
14,25,19
14,20,31
14,22,28
15,28,0
15,13,1
15,2,8
15,3,26
15,7,4
15,24,5
15,31,6
15,9,22
15,10,27
15,21,11
15,12,18
15,14,17
15,15,29
15,23,16
15,19,20
15,30,25
16,13,0
16,30,1
16,2,27
16,23,3
16,4,24
16,5,20
16,15,6
16,14,7
16,17,8
16,9,10
16,11,19
16,21,12
16,16,26
16,18,22
16,28,25
16,31,29
17,0,15
17,1,18
17,26,2
17,3,21
17,6,4
17,27,5
17,7,28
17,8,13
17,12,9
17,10,30
17,25,11
17,24,14
17,20,16
17,29,17
17,19,23
17,22,31
18,1,0
18,2,30
18,29,3
18,4,13
18,11,5
18,6,23
18,27,7
18,28,8
18,31,9
18,12,10
18,25,14
18,16,15
18,20,17
18,18,21
18,24,19
18,22,26
19,0,24
19,5,1
19,15,2
19,3,25
19,14,4
19,30,6
19,7,31
19,8,12
19,9,29
19,10,28
19,23,11
19,13,16
19,17,18
19,19,27
19,26,20
19,21,22
20,4,0
20,2,1
20,3,12
20,29,5
20,13,6
20,25,7
20,8,26
20,9,30
20,10,23
20,20,11
20,14,15
20,28,16
20,24,17
20,18,31
20,19,21
20,27,22
21,0,27
21,1,29
21,31,2
21,15,3
21,12,4
21,5,28
21,6,20
21,7,9
21,23,8
21,22,10
21,11,24
21,21,13
21,26,14
21,16,25
21,17,19
21,30,18
22,8,0
22,1,7
22,28,2
22,31,3
22,4,17
22,5,23
22,6,27
22,9,20
22,21,10
22,11,29
22,12,16
22,13,18
22,14,19
22,15,24
22,22,25
22,26,30
23,0,26
23,20,1
23,2,9
23,3,13
23,23,4
23,10,5
23,29,6
23,7,15
23,30,8
23,16,11
23,24,12
23,18,14
23,17,22
23,19,28
23,27,21
23,25,31
