1217,MiaoAlgo,I_NFL32_8,1000,30
NrSuccesfullMatchings,24947,NrInfeasibleMatchings,0
Time,Value 
0,90157
Final, 89153,27

Round,H_team,A_team 
0,16,0
0,1,25
0,2,5
0,3,19
0,4,8
0,18,6
0,7,22
0,27,9
0,10,29
0,17,11
0,28,12
0,30,13
0,20,14
0,31,15
0,23,21
0,24,26
1,6,0
1,26,1
1,2,7
1,18,3
1,4,24
1,22,5
1,29,8
1,25,9
1,14,10
1,11,27
1,12,23
1,13,31
1,15,28
1,19,16
1,30,17
1,21,20
2,0,2
2,9,1
2,16,3
2,22,4
2,5,7
2,6,24
2,8,20
2,11,10
2,13,12
2,14,23
2,15,30
2,17,27
2,19,18
2,29,21
2,26,25
2,31,28
3,3,0
3,1,27
3,16,2
3,7,4
3,5,25
3,19,6
3,8,22
3,9,11
3,17,10
3,15,12
3,13,28
3,14,21
3,18,24
3,20,23
3,26,29
3,31,30
4,18,0
4,1,11
4,3,2
4,4,29
4,5,19
4,16,6
4,7,8
4,9,26
4,10,21
4,31,12
4,17,13
4,27,14
4,23,15
4,20,22
4,24,25
4,28,30
5,0,19
5,1,18
5,2,8
5,3,6
5,4,5
5,7,16
5,24,9
5,10,26
5,25,11
5,12,17
5,27,13
5,30,14
5,20,15
5,21,31
5,23,22
5,28,29
6,0,7
6,30,1
6,2,19
6,24,3
6,10,4
6,8,5
6,6,9
6,11,13
6,12,14
6,21,15
6,22,16
6,28,17
6,25,18
6,29,20
6,23,31
6,27,26
7,0,24
7,13,1
7,6,2
7,22,3
7,26,4
7,5,16
7,19,7
7,8,10
7,9,18
7,11,20
7,12,30
7,14,31
7,15,17
7,21,28
7,29,23
7,25,27
