588,MiaoAlgo,I_NFL32_8,1000,70
NrSuccesfullMatchings,50169,NrInfeasibleMatchings,0
Time,Value 
30,88239
0,91733
Final, 88239,60

Round,H_team,A_team 
0,6,0
0,1,25
0,5,2
0,18,3
0,4,8
0,22,7
0,27,9
0,29,10
0,11,17
0,14,12
0,30,13
0,15,31
0,19,16
0,20,23
0,21,28
0,26,24
1,18,0
1,9,1
1,2,7
1,19,3
1,26,4
1,24,5
1,6,16
1,8,20
1,25,10
1,11,27
1,12,28
1,13,15
1,14,21
1,17,29
1,22,23
1,31,30
2,0,19
2,26,1
2,2,22
2,3,16
2,24,4
2,7,5
2,6,18
2,8,23
2,9,10
2,11,29
2,12,17
2,31,13
2,28,14
2,15,30
2,20,21
2,25,27
3,3,0
3,1,27
3,16,2
3,18,4
3,5,22
3,19,6
3,23,7
3,24,8
3,9,25
3,10,26
3,14,11
3,12,30
3,13,17
3,15,28
3,29,20
3,21,31
4,0,16
4,1,24
4,3,2
4,4,20
4,5,8
4,6,22
4,29,7
4,26,9
4,27,10
4,11,25
4,15,12
4,13,28
4,14,31
4,30,17
4,19,18
4,21,23
5,0,2
5,1,6
5,23,3
5,4,9
5,5,19
5,7,8
5,10,24
5,30,11
5,13,12
5,29,14
5,21,15
5,16,18
5,17,25
5,22,20
5,27,26
5,28,31
6,0,5
6,16,1
6,2,18
6,22,3
6,10,4
6,25,6
6,7,19
6,8,29
6,24,9
6,28,11
6,31,12
6,27,13
6,20,14
6,23,15
6,17,26
6,30,21
7,7,0
7,3,1
7,2,19
7,4,29
7,16,5
7,9,6
7,8,22
7,10,13
7,31,11
7,12,21
7,23,14
7,20,15
7,17,27
7,18,24
7,25,26
7,28,30
