42,MiaoAlgo,I_NFL32_8,1000,90
NrSuccesfullMatchings,89569,NrInfeasibleMatchings,0
Time,Value 
90,90477
60,90477
30,90477
0,95736
Final, 90477,103

Round,H_team,A_team 
0,0,19
0,1,25
0,2,5
0,3,16
0,8,4
0,6,18
0,22,7
0,27,9
0,29,10
0,17,11
0,28,12
0,30,13
0,14,20
0,31,15
0,21,23
0,26,24
1,16,0
1,9,1
1,7,2
1,3,19
1,22,4
1,18,5
1,24,6
1,8,10
1,11,27
1,12,30
1,13,31
1,14,21
1,15,28
1,17,29
1,23,20
1,25,26
2,0,3
2,1,26
2,22,2
2,4,10
2,5,7
2,19,6
2,23,8
2,9,24
2,25,11
2,12,14
2,13,28
2,15,17
2,16,18
2,20,21
2,27,29
2,30,31
3,0,18
3,1,11
3,2,3
3,4,23
3,6,5
3,7,8
3,25,9
3,10,24
3,21,12
3,13,17
3,14,29
3,15,30
3,19,16
3,20,22
3,27,26
3,31,28
4,2,0
4,1,24
4,18,3
4,26,4
4,19,5
4,6,16
4,7,23
4,8,22
4,9,11
4,10,20
4,29,12
4,14,13
4,21,15
4,17,31
4,27,25
4,28,30
5,7,0
5,3,1
5,6,2
5,9,4
5,5,16
5,8,20
5,26,10
5,11,31
5,12,15
5,29,13
5,28,14
5,17,27
5,18,19
5,21,30
5,22,23
5,24,25
6,23,0
6,16,1
6,2,19
6,3,6
6,4,7
6,5,22
6,24,8
6,26,9
6,10,27
6,11,13
6,31,12
6,15,14
6,30,17
6,18,25
6,20,29
6,28,21
7,0,6
7,19,1
7,16,2
7,5,3
7,4,27
7,20,7
7,25,8
7,10,9
7,11,26
7,12,17
7,13,15
7,30,14
7,24,18
7,31,21
7,29,22
7,23,28
