0,MiaoAlgo,I_NL16_12,10000,10
NrSuccesfullMatchings,49711,NrInfeasibleMatchings,119399
Time,Value 
60,234363
30,234363
0,2147483647
Final, 234363,75

Round,H_team,A_team 
0,5,0
0,2,1
0,3,12
0,4,10
0,6,8
0,7,9
0,11,14
0,15,13
1,4,0
1,3,1
1,5,2
1,6,12
1,7,8
1,9,11
1,10,13
1,15,14
2,0,12
2,1,7
2,4,2
2,5,3
2,6,11
2,9,8
2,10,15
2,13,14
3,0,2
3,1,5
3,8,3
3,11,4
3,7,6
3,13,9
3,14,10
3,12,15
4,6,0
4,1,4
4,2,3
4,5,8
4,7,10
4,14,9
4,11,15
4,13,12
5,10,0
5,6,1
5,2,8
5,3,4
5,7,5
5,15,9
5,11,13
5,14,12
6,0,14
6,10,1
6,2,6
6,3,7
6,4,15
6,9,5
6,8,13
6,12,11
7,0,15
7,12,1
7,7,2
7,9,3
7,13,4
7,5,6
7,8,14
7,10,11
8,0,11
8,1,8
8,15,2
8,6,3
8,14,4
8,5,10
8,13,7
8,9,12
9,8,0
9,1,9
9,2,10
9,11,3
9,12,4
9,13,5
9,15,6
9,14,7
10,3,0
10,11,1
10,2,13
10,4,9
10,15,5
10,14,6
10,12,7
10,8,10
11,0,13
11,1,15
11,9,2
11,3,14
11,4,7
11,12,5
11,10,6
11,8,11
