154,MiaoAlgo,I_NL16_12,10000,10
NrSuccesfullMatchings,186553,NrInfeasibleMatchings,222370
Time,Value 
150,232262
120,232262
90,232262
60,232262
30,232262
0,2147483647
Final, 232262,170

Round,H_team,A_team 
0,5,0
0,3,1
0,2,4
0,7,6
0,9,8
0,15,10
0,12,11
0,14,13
1,0,4
1,6,1
1,5,2
1,9,3
1,7,8
1,10,11
1,14,12
1,13,15
2,0,8
2,1,2
2,5,3
2,6,4
2,9,7
2,10,13
2,11,14
2,15,12
3,0,2
3,1,5
3,7,3
3,4,10
3,6,9
3,8,12
3,11,13
3,15,14
4,1,0
4,2,10
4,3,6
4,4,8
4,5,9
4,7,14
4,15,11
4,12,13
5,3,0
5,14,1
5,2,6
5,4,15
5,13,5
5,7,11
5,10,8
5,12,9
6,0,15
6,13,1
6,2,7
6,3,4
6,11,5
6,8,6
6,9,14
6,10,12
7,0,9
7,11,1
7,8,2
7,13,3
7,5,4
7,6,15
7,7,12
7,10,14
8,0,10
8,1,9
8,11,2
8,14,3
8,4,13
8,5,7
8,6,12
8,15,8
9,14,0
9,1,7
9,2,9
9,12,3
9,4,11
9,15,5
9,6,10
9,8,13
10,13,0
10,8,1
10,2,15
10,3,11
10,4,7
10,12,5
10,14,6
10,9,10
11,12,0
11,1,4
11,3,2
11,10,5
11,11,6
11,13,7
11,8,14
11,9,15
