154,MiaoAlgo,I_NL16_12,10000,70
NrSuccesfullMatchings,7099367,NrInfeasibleMatchings,12683250
Time,Value 
4620,338914
4590,338914
4560,338914
4530,338914
4500,338914
4470,338914
4440,338914
4410,338914
4380,338914
4350,338914
4320,338914
4290,338914
4260,338914
4230,338914
4200,338914
4170,338914
4140,338914
4110,338914
4080,338914
4050,338914
4020,338914
3990,338914
3960,338914
3930,338914
3900,338914
3870,338914
3840,338914
3810,338914
1740,338914
1710,338914
1680,338914
1650,338914
1620,338914
1590,338914
1560,338914
1530,338914
1500,338914
1470,338914
1440,338914
1410,338914
1380,338914
1350,338914
1320,338914
1290,338914
1260,338914
1230,338914
1200,338914
1170,338914
1140,338914
1110,338914
1080,338914
1050,338914
1020,338914
990,338914
960,338914
930,338914
900,338914
870,338914
360,338914
330,338914
300,338914
270,339218
240,342471
210,342576
180,342576
150,342576
120,342576
90,342576
60,342576
30,342576
0,346733
390,338914
420,338914
450,338914
480,338914
510,338914
540,338914
570,338914
600,338914
630,338914
660,338914
690,338914
720,338914
750,338914
780,338914
810,338914
840,338914
1770,338914
1800,338914
1830,338914
1860,338914
1890,338914
1920,338914
1950,338914
1980,338914
2010,338914
2040,338914
2070,338914
2100,338914
2130,338914
2160,338914
2190,338914
2220,338914
2250,338914
2280,338914
2310,338914
2340,338914
2370,338914
2400,338914
2430,338914
2460,338914
2490,338914
2520,338914
2550,338914
2580,338914
2610,338914
2640,338914
2670,338914
2700,338914
2730,338914
2760,338914
2790,338914
2820,338914
2850,338914
2880,338914
2910,338914
2940,338914
2970,338914
3000,338914
3030,338914
3060,338914
3090,338914
3120,338914
3150,338914
3180,338914
3210,338914
3240,338914
3270,338914
3300,338914
3330,338914
3360,338914
3390,338914
3420,338914
3450,338914
3480,338914
3510,338914
3540,338914
3570,338914
3600,338914
3630,338914
3660,338914
3690,338914
3720,338914
3750,338914
3780,338914
Final, 338914,7231

Round,H_team,A_team 
0,6,0
0,2,1
0,3,7
0,10,4
0,5,9
0,8,11
0,12,15
0,14,13
1,12,0
1,4,1
1,2,3
1,7,5
1,8,6
1,11,9
1,13,10
1,14,15
2,0,8
2,1,3
2,2,5
2,4,6
2,9,7
2,14,10
2,12,11
2,13,15
3,0,4
3,1,5
3,9,2
3,3,6
3,15,7
3,8,13
3,10,12
3,11,14
4,0,14
4,1,9
4,6,2
4,5,3
4,4,12
4,7,8
4,10,15
4,11,13
5,10,0
5,7,1
5,8,2
5,3,9
5,13,4
5,5,6
5,15,11
5,14,12
6,1,0
6,2,7
6,14,3
6,4,5
6,6,9
6,8,15
6,11,10
6,12,13
7,5,0
7,1,11
7,4,2
7,13,3
7,6,15
7,10,7
7,8,14
7,9,12
8,0,9
8,1,6
8,2,11
8,15,3
8,14,4
8,13,5
8,7,12
8,10,8
9,0,2
9,13,1
9,3,11
9,15,4
9,12,5
9,6,10
9,7,14
9,9,8
10,0,13
10,15,1
10,2,10
10,3,12
10,11,4
10,5,8
10,6,7
10,9,14
11,7,0
11,12,1
11,15,2
11,3,10
11,4,8
11,5,14
11,11,6
11,9,13
