42,MiaoAlgo,I_NL16_12,10000,100
NrSuccesfullMatchings,60454,NrInfeasibleMatchings,60009
Time,Value 
30,165922
0,165922
Final, 165922,50

Round,H_team,A_team 
0,2,0
0,1,4
0,3,5
0,6,8
0,7,9
0,11,10
0,15,12
0,13,14
1,0,6
1,5,1
1,4,2
1,9,3
1,10,7
1,8,11
1,12,13
1,14,15
2,1,0
2,2,5
2,6,3
2,10,4
2,7,8
2,9,11
2,14,12
2,13,15
3,0,4
3,2,1
3,3,7
3,5,6
3,8,13
3,12,9
3,15,10
3,11,14
4,0,15
4,1,3
4,2,9
4,5,4
4,6,13
4,7,11
4,8,14
4,10,12
5,14,0
5,9,1
5,3,2
5,4,6
5,11,5
5,12,7
5,15,8
5,13,10
6,13,0
6,1,6
6,7,2
6,4,3
6,5,9
6,12,8
6,10,14
6,11,15
7,0,5
7,14,1
7,2,11
7,3,12
7,15,4
7,6,7
7,8,10
7,9,13
8,7,0
8,12,1
8,2,8
8,10,3
8,14,4
8,5,13
8,6,11
8,9,15
9,0,10
9,1,7
9,13,2
9,3,14
9,4,9
9,8,5
9,15,6
9,11,12
10,3,0
10,10,1
10,15,2
10,4,8
10,7,5
10,12,6
10,9,14
10,11,13
11,0,11
11,1,15
11,14,2
11,8,3
11,4,12
11,5,10
11,6,9
11,13,7
