2486,MiaoAlgo,I_NL16_8,10000,10
NrSuccesfullMatchings,12730,NrInfeasibleMatchings,4
Time,Value 
0,76334
Final, 76334,3

Round,H_team,A_team 
0,0,4
0,1,3
0,2,5
0,6,7
0,10,8
0,11,9
0,12,14
0,13,15
1,0,6
1,2,1
1,5,3
1,4,10
1,7,9
1,8,13
1,11,12
1,15,14
2,0,10
2,5,1
2,2,3
2,4,6
2,7,13
2,8,9
2,11,14
2,15,12
3,5,0
3,9,1
3,6,2
3,3,7
3,14,4
3,8,11
3,10,15
3,12,13
4,3,0
4,1,7
4,10,2
4,12,4
4,6,5
4,14,8
4,9,15
4,13,11
5,1,0
5,14,2
5,3,11
5,13,4
5,9,5
5,6,15
5,10,7
5,12,8
6,0,12
6,1,6
6,2,9
6,4,3
6,7,5
6,15,8
6,11,10
6,13,14
7,8,0
7,4,1
7,7,2
7,3,6
7,5,12
7,9,13
7,14,10
7,15,11
