588,MiaoAlgo,I_NL16_8,10000,100
NrSuccesfullMatchings,67226,NrInfeasibleMatchings,0
Time,Value 
0,69921
Final, 69921,18

Round,H_team,A_team 
0,4,0
0,3,1
0,5,2
0,8,6
0,7,9
0,13,10
0,12,11
0,14,15
1,0,6
1,1,5
1,2,4
1,3,7
1,9,8
1,11,10
1,12,14
1,13,15
2,0,9
2,1,2
2,3,5
2,4,6
2,7,8
2,10,15
2,14,11
2,13,12
3,8,0
3,4,1
3,2,3
3,5,9
3,6,7
3,12,10
3,15,11
3,14,13
4,2,0
4,7,1
4,3,9
4,4,8
4,5,6
4,14,10
4,13,11
4,12,15
5,1,0
5,6,2
5,11,3
5,10,4
5,5,14
5,15,7
5,8,13
5,9,12
6,0,5
6,1,14
6,9,2
6,10,3
6,15,4
6,6,13
6,11,7
6,8,12
7,0,3
7,6,1
7,2,14
7,11,4
7,10,5
7,7,12
7,15,8
7,9,13
